product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,review_content
P100010,Vacuum Model 1010,Home&Kitchen|HomeAppliances|Vacuum,"₹5,992","₹11,658",48.6%,4.2,"4,079","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 4.2-star experience."
P100011,Chargers Model 1011,Electronics|Mobiles&Accessories|Chargers,₹158,₹326,51.5%,3.8,"1,319",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 3.8-star experience.
P100012,Chargers Model 1012,Electronics|Mobiles&Accessories|Chargers,₹422,₹909,53.5%,3.4,"7,597",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 3.4-star experience.
P100013,In-Ear Model 1013,Electronics|Headphones|In-Ear,₹576,"₹1,093",47.3%,4.3,"13,252","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.3-star experience."
P100014,Cookware Model 1014,Home&Kitchen|Kitchen&Dining|Cookware,₹646,"₹1,328",51.3%,4.0,"7,655","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.0-star experience."
P100015,Cookware Model 1015,Home&Kitchen|Kitchen&Dining|Cookware,₹956,"₹1,616",40.8%,4.0,"3,855","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.0-star experience."
P100016,Printers Model 1016,OfficeProducts|OfficeElectronics|Printers,"₹7,218","₹15,900",54.6%,4.6,"4,428","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 4.6-star experience."
P100017,SmartWatches Model 1017,Electronics|WearableTech|SmartWatches,"₹2,334","₹6,867",66.0%,3.8,"7,896","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 3.8-star experience."
P100018,Chargers Model 1018,Electronics|Mobiles&Accessories|Chargers,₹505,₹788,35.9%,4.7,"15,962",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 4.7-star experience.
P100019,Printers Model 1019,OfficeProducts|OfficeElectronics|Printers,"₹6,220","₹12,417",49.9%,4.0,"5,739","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 4.0-star experience."
P100020,Cookware Model 1020,Home&Kitchen|Kitchen&Dining|Cookware,"₹1,079","₹1,824",40.8%,4.2,"16,828","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.2-star experience."
P100021,Printers Model 1021,OfficeProducts|OfficeElectronics|Printers,"₹3,052","₹8,119",62.4%,3.9,"12,328","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 3.9-star experience."
P100022,Vacuum Model 1022,Home&Kitchen|HomeAppliances|Vacuum,"₹3,389","₹7,092",52.2%,4.3,"5,781","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 4.3-star experience."
P100023,Cookware Model 1023,Home&Kitchen|Kitchen&Dining|Cookware,₹874,"₹1,438",39.2%,4.0,"1,868","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.0-star experience."
P100024,Accessories Model 1024,Electronics|Cameras|Accessories,₹770,"₹1,342",42.6%,4.2,"5,045","Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards.","Customers say: Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards. Overall a 4.2-star experience."
P100025,SmartWatches Model 1025,Electronics|WearableTech|SmartWatches,"₹1,288","₹2,603",50.5%,3.9,"2,263","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 3.9-star experience."
P100026,Speakers Model 1026,Electronics|HomeTheater|Speakers,"₹1,475","₹2,806",47.4%,4.3,"20,094","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.3-star experience."
P100027,Chargers Model 1027,Electronics|Mobiles&Accessories|Chargers,₹506,₹882,42.6%,4.1,"10,355",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 4.1-star experience.
P100028,Cables Model 1028,Computers&Accessories|Accessories|Cables,₹308,₹409,24.5%,5.0,"3,466",High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors.,Customers say: High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors. Overall a 5.0-star experience.
P100029,Vacuum Model 1029,Home&Kitchen|HomeAppliances|Vacuum,"₹3,186","₹8,875",64.1%,3.6,"14,147","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 3.6-star experience."
P100030,Laptops Model 1030,Computers&Accessories|Laptops,"₹24,643","₹59,238",58.4%,3.7,"16,227","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 3.7-star experience."
P100031,Speakers Model 1031,Electronics|HomeTheater|Speakers,"₹2,533","₹3,704",31.6%,5.0,"2,929","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 5.0-star experience."
P100032,Cables Model 1032,Computers&Accessories|Accessories|Cables,₹235,₹415,43.2%,3.9,"7,410",High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors.,Customers say: High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors. Overall a 3.9-star experience.
P100033,Cookware Model 1033,Home&Kitchen|Kitchen&Dining|Cookware,₹593,"₹1,150",48.4%,4.3,"2,360","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.3-star experience."
P100034,Laptops Model 1034,Computers&Accessories|Laptops,"₹14,677","₹30,901",52.5%,4.0,"11,513","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.0-star experience."
P100035,In-Ear Model 1035,Electronics|Headphones|In-Ear,₹999,"₹1,636",38.9%,4.6,"7,864","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.6-star experience."
P100036,In-Ear Model 1036,Electronics|Headphones|In-Ear,"₹1,075","₹1,655",35.0%,4.4,"4,900","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.4-star experience."
P100037,Vacuum Model 1037,Home&Kitchen|HomeAppliances|Vacuum,"₹5,254","₹10,878",51.7%,4.2,"7,008","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 4.2-star experience."
P100038,In-Ear Model 1038,Electronics|Headphones|In-Ear,₹645,"₹1,091",40.8%,4.2,"7,349","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.2-star experience."
P100039,Laptops Model 1039,Computers&Accessories|Laptops,"₹32,690","₹78,583",58.4%,4.3,"4,535","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.3-star experience."
P100040,Laptops Model 1040,Computers&Accessories|Laptops,"₹14,523","₹27,455",47.1%,4.4,"14,273","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.4-star experience."
P100041,SmartWatches Model 1041,Electronics|WearableTech|SmartWatches,"₹3,399","₹8,312",59.1%,4.3,"11,581","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 4.3-star experience."
P100042,Speakers Model 1042,Electronics|HomeTheater|Speakers,"₹1,317","₹2,705",51.3%,3.8,"2,121","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 3.8-star experience."
P100043,Chargers Model 1043,Electronics|Mobiles&Accessories|Chargers,₹427,₹775,44.8%,4.2,"7,218",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 4.2-star experience.
P100044,Accessories Model 1044,Electronics|Cameras|Accessories,₹624,"₹1,206",48.2%,4.7,"2,887","Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards.","Customers say: Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards. Overall a 4.7-star experience."
P100045,Printers Model 1045,OfficeProducts|OfficeElectronics|Printers,"₹5,071","₹15,003",66.2%,3.8,"3,572","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 3.8-star experience."
P100046,In-Ear Model 1046,Electronics|Headphones|In-Ear,₹806,"₹1,365",40.9%,4.4,"8,790","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.4-star experience."
P100047,Vacuum Model 1047,Home&Kitchen|HomeAppliances|Vacuum,"₹2,041","₹5,951",65.7%,3.5,"1,432","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 3.5-star experience."
P100048,In-Ear Model 1048,Electronics|Headphones|In-Ear,₹685,"₹1,628",57.9%,3.6,"6,390","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 3.6-star experience."
P100049,Printers Model 1049,OfficeProducts|OfficeElectronics|Printers,"₹3,909","₹7,757",49.6%,4.2,"5,470","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 4.2-star experience."
P100050,Speakers Model 1050,Electronics|HomeTheater|Speakers,"₹1,642","₹3,429",52.1%,4.3,"13,669","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.3-star experience."
P100051,SmartWatches Model 1051,Electronics|WearableTech|SmartWatches,"₹1,055","₹2,693",60.8%,3.7,"9,125","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 3.7-star experience."
P100052,Laptops Model 1052,Computers&Accessories|Laptops,"₹28,491","₹54,270",47.5%,5.0,"9,572","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 5.0-star experience."
P100053,SmartWatches Model 1053,Electronics|WearableTech|SmartWatches,"₹4,011","₹8,289",51.6%,4.4,"2,482","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 4.4-star experience."
P100054,Cookware Model 1054,Home&Kitchen|Kitchen&Dining|Cookware,₹733,"₹1,381",46.9%,4.0,"1,122","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.0-star experience."
P100055,In-Ear Model 1055,Electronics|Headphones|In-Ear,"₹1,366","₹2,888",52.7%,3.4,"10,495","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 3.4-star experience."
P100056,Chargers Model 1056,Electronics|Mobiles&Accessories|Chargers,₹456,₹648,29.6%,4.5,"5,519",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 4.5-star experience.
P100057,Cookware Model 1057,Home&Kitchen|Kitchen&Dining|Cookware,₹850,"₹1,427",40.4%,4.4,847,"Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.4-star experience."
P100058,Speakers Model 1058,Electronics|HomeTheater|Speakers,"₹1,258","₹3,054",58.8%,3.8,"22,156","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 3.8-star experience."
P100059,In-Ear Model 1059,Electronics|Headphones|In-Ear,₹153,₹284,46.0%,4.2,299,"Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.2-star experience."
P100060,Cookware Model 1060,Home&Kitchen|Kitchen&Dining|Cookware,₹696,"₹1,365",49.0%,4.1,"9,044","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.1-star experience."
P100061,In-Ear Model 1061,Electronics|Headphones|In-Ear,₹435,₹779,44.1%,4.0,"1,205","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.0-star experience."
P100062,Vacuum Model 1062,Home&Kitchen|HomeAppliances|Vacuum,"₹7,140","₹15,355",53.5%,4.3,"5,092","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 4.3-star experience."
P100063,Speakers Model 1063,Electronics|HomeTheater|Speakers,"₹3,227","₹5,546",41.8%,4.5,"7,159","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.5-star experience."
P100064,Accessories Model 1064,Electronics|Cameras|Accessories,₹804,"₹1,808",55.5%,3.8,"8,555","Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards.","Customers say: Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards. Overall a 3.8-star experience."
P100065,Laptops Model 1065,Computers&Accessories|Laptops,"₹13,704","₹28,315",51.6%,4.1,"20,935","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.1-star experience."
P100066,Cables Model 1066,Computers&Accessories|Accessories|Cables,₹212,₹359,40.8%,3.6,"18,064",High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors.,Customers say: High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors. Overall a 3.6-star experience.
P100067,Laptops Model 1067,Computers&Accessories|Laptops,"₹19,169","₹37,079",48.3%,4.2,"16,535","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.2-star experience."
P100068,Laptops Model 1068,Computers&Accessories|Laptops,"₹25,912","₹65,936",60.7%,4.1,"2,857","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.1-star experience."
P100069,Cookware Model 1069,Home&Kitchen|Kitchen&Dining|Cookware,"₹1,139","₹2,159",47.2%,3.9,"5,563","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 3.9-star experience."
P100070,Speakers Model 1070,Electronics|HomeTheater|Speakers,"₹1,922","₹3,136",38.7%,4.4,"17,693","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.4-star experience."
P100071,In-Ear Model 1071,Electronics|Headphones|In-Ear,₹961,"₹2,779",65.4%,3.3,"3,790","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 3.3-star experience."
P100072,SmartWatches Model 1072,Electronics|WearableTech|SmartWatches,"₹3,076","₹6,674",53.9%,3.9,"3,340","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 3.9-star experience."
P100073,Cables Model 1073,Computers&Accessories|Accessories|Cables,₹214,₹305,29.8%,4.4,"7,861",High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors.,Customers say: High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors. Overall a 4.4-star experience.
P100074,Printers Model 1074,OfficeProducts|OfficeElectronics|Printers,"₹6,543","₹16,318",59.9%,4.2,"11,507","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 4.2-star experience."
P100075,Cookware Model 1075,Home&Kitchen|Kitchen&Dining|Cookware,₹651,"₹1,336",51.2%,3.9,"10,983","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 3.9-star experience."
P100076,Cables Model 1076,Computers&Accessories|Accessories|Cables,₹252,₹396,36.2%,4.1,"15,226",High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors.,Customers say: High-speed data and charging cable with a tangle-free nylon braid and reinforced connectors. Overall a 4.1-star experience.
P100077,Accessories Model 1077,Electronics|Cameras|Accessories,₹685,"₹1,462",53.1%,4.0,"3,263","Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards.","Customers say: Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards. Overall a 4.0-star experience."
P100078,Vacuum Model 1078,Home&Kitchen|HomeAppliances|Vacuum,"₹6,380","₹11,971",46.7%,4.4,"15,448","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 4.4-star experience."
P100079,Speakers Model 1079,Electronics|HomeTheater|Speakers,"₹1,840","₹3,818",51.8%,4.0,"7,598","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.0-star experience."
P100080,Printers Model 1080,OfficeProducts|OfficeElectronics|Printers,"₹4,375","₹12,465",64.9%,4.3,"1,550","Compact wireless printer with fast print speeds, mobile printing, and low running costs.","Customers say: Compact wireless printer with fast print speeds, mobile printing, and low running costs. Overall a 4.3-star experience."
P100081,Cookware Model 1081,Home&Kitchen|Kitchen&Dining|Cookware,₹510,"₹1,195",57.3%,3.6,"14,269","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 3.6-star experience."
P100082,Laptops Model 1082,Computers&Accessories|Laptops,"₹29,129","₹56,234",48.2%,4.4,"4,907","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.4-star experience."
P100083,Chargers Model 1083,Electronics|Mobiles&Accessories|Chargers,₹434,₹824,47.3%,3.8,"12,805",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 3.8-star experience.
P100084,Cookware Model 1084,Home&Kitchen|Kitchen&Dining|Cookware,₹755,"₹1,339",43.6%,4.0,"8,308","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.0-star experience."
P100085,Chargers Model 1085,Electronics|Mobiles&Accessories|Chargers,₹335,₹536,37.4%,4.2,"6,964",Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices.,Customers say: Fast charging adapter with surge protection and a durable braided cable. Compatible with most modern devices. Overall a 4.2-star experience.
P100086,Laptops Model 1086,Computers&Accessories|Laptops,"₹18,844","₹36,521",48.4%,4.2,"6,589","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 4.2-star experience."
P100087,Vacuum Model 1087,Home&Kitchen|HomeAppliances|Vacuum,"₹2,571","₹6,413",59.9%,4.0,"7,492","Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter.","Customers say: Powerful vacuum cleaner with strong suction, multiple attachments, and a washable filter. Overall a 4.0-star experience."
P100088,Speakers Model 1088,Electronics|HomeTheater|Speakers,"₹2,111","₹4,029",47.6%,4.0,"4,852","Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design.","Customers say: Wireless Bluetooth speaker with rich sound, long battery life, and a water-resistant design. Overall a 4.0-star experience."
P100089,In-Ear Model 1089,Electronics|Headphones|In-Ear,₹825,"₹1,488",44.5%,4.0,"7,586","Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls.","Customers say: Lightweight in-ear headphones with deep bass, noise isolation, and a built-in microphone for calls. Overall a 4.0-star experience."
P100090,Cookware Model 1090,Home&Kitchen|Kitchen&Dining|Cookware,"₹1,521","₹2,415",37.0%,4.7,"4,134","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.7-star experience."
P100091,SmartWatches Model 1091,Electronics|WearableTech|SmartWatches,"₹3,315","₹7,656",56.7%,3.9,"6,797","Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life.","Customers say: Smartwatch with heart-rate tracking, notifications, multiple sport modes, and a week of battery life. Overall a 3.9-star experience."
P100092,Laptops Model 1092,Computers&Accessories|Laptops,"₹16,084","₹46,758",65.6%,3.8,"5,201","Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study.","Customers say: Everyday laptop with a fast processor, ample storage, and a bright full-HD display for work and study. Overall a 3.8-star experience."
P100093,Cookware Model 1093,Home&Kitchen|Kitchen&Dining|Cookware,"₹2,044","₹3,160",35.3%,4.5,"22,230","Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface.","Customers say: Non-stick cookware made from food-grade material, even heat distribution, and an easy-to-clean surface. Overall a 4.5-star experience."
P100094,Accessories Model 1094,Electronics|Cameras|Accessories,₹969,"₹1,618",40.1%,4.2,"22,523","Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards.","Customers say: Protective camera accessory kit with a carrying case, cleaning cloth, and lens guards. Overall a 4.2-star experience."
